languageCode,glottocode,family_name,classification
zku,kaur1267,Pama-Nyungan,Pama-Nyungan/Arandic-Thura-Yura/Thura-Yura/Core Thura Yura/Southern Thura-Yura/Kaurna
vkk,kaur1269,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Nuclear Malayic/South Sumatra Malay/Kaur
bpp,kaur1271,Kaure-Kosare,Kaure-Kosare/Kaure-Narau
xau,kauw1242,Greater Kwerba,Greater Kwerba/Kwerba-Samarokena/Kwerbaic/Middle Mamberamo Kwerba/Kasonaic/Kauwera
ckv,kava1241,Austronesian,Austronesian/East Formosan/Northern East Formosan/Kavalan
kcb,kawa1276,Angan,Angan/Nuclear Angan/Wojokesic/Kawacha
xaw,kawa1283,Uto-Aztecan,Uto-Aztecan/Northern Uto-Aztecan/Numic/Southern Numic/Kawaiisu
kgb,kawe1240,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/South Halmahera-West New Guinea/Raja Ampat-South Halmahera/Maya-Salawati-Matbat/Maya-Salawati/Raja Ampat Maya/Waigeo Maya/Kawe
kaw,kawi1241,Austronesian,Austronesian/Malayo-Polynesian/Javanesic/Kawi
ktx,kaxa1239,Pano-Tacanan,Pano-Tacanan/Panoan/Mainline Pano/Kaxararí
kbb,kaxu1237,Cariban,Cariban/Parukotoan/Kaxuiâna
pdu,kaya1315,Sino-Tibetan,Sino-Tibetan/Karenic/Northern Karen/Kayan Lahwi
gyd,kaya1319,Tangkic,Tangkic/Southern Tangkic/Kayardild-Yangkaal/Kayardild
xay,kaya1324,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Kayan-Murik-Modang/Kayan-Murik/Kayanic/Rejang-Makaham Kayan/Kayan Mahakam
xkn,kaya1325,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Kayan-Murik-Modang/Kayan-Murik/Kayanic/Kayan River Kayan
kyt,kaya1328,Kayagaric,Kayagaric/Kaygir-Tamagario/Kayagar
kyz,kaya1329,Tupian,Tupian/Eastern Tupian/Maweti-Guarani/Aweti-Guarani/Tupi-Guarani/Tupi-Guarani Subgroup VI/Kayabí
txu,kaya1330,Nuclear-Macro-Je,Nuclear-Macro-Je/Je/Cerrado/Goyaz/Northern Je/Mebengokre
knh,kaya1334,Bookkeeping,Bookkeeping/Kayan River Kenyah
kzl,kaye1241,Austronesian,Austronesian/Malayo-Polynesian/Nunusaku/Kayeli
kxy,kayo1245,Austroasiatic,Austroasiatic/Bahnaric/North Bahnaric/Kayong-Jeh-Halang/Kayong
kyv,kayo1247,Bookkeeping,Bookkeeping/Kayort
gbb,kayt1238,Pama-Nyungan,Pama-Nyungan/Arandic-Thura-Yura/Arandic/Kaytetye
kzu,kayu1243,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Sarmi-Jayapura Bay/Jayapura Bay/Eastern Jayapura Bay/Kayupulau
vky,kayu1244,Bookkeeping,Bookkeeping/Kayu Agung
kaz,kaza1248,Turkic,Turkic/Common Turkic/Kipchak-Turkestan/Kipchak/Southeast Kipchak/South Kipchak/Kazakh
kzk,kazu1245,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Meso Melanesian linkage/New Ireland-Northwest Solomonic linkage/St George linkage/Northwest Solomonic/New Georgia/Kazukuru
keh,keak1239,Ndu,Ndu/Nuclear Ndu/Sawosic/Iatmulic/Keak
khz,keap1239,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Peripheral Papuan Tip linkage/Central Papuan Oceanic/Sinagoro-Keapara/Hula-Keapara/Keapara
meo,keda1251,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Nuclear Malayic/Greater Riau-Johoric/Northeastern Peninsular Malay/Kedah-Perak Malay
ksx,keda1252,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/Flores-Lembata/Kedang
kdy,kede1239,Tor-Orya,Tor-Orya/Tor/Coastal Tor/Keder
khh,kehu1238,Isolate,Kehu
kec,keig1242,Kadugli-Krongo,Kadugli-Krongo/Keiga
kei,keii1239,Austronesian,Austronesian/Malayo-Polynesian/Tanimbar-Bomberai/Nuclear Tanimbar-Bomberai/Kei-Fordata/Kei
bmh,kein1239,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Madang/Croisilles/Mabuso/Kokon/Kein
eyo,keiy1238,Nilotic,Nilotic/Southern Nilotic/Kalenjin/Central Kalenjin/Plateau Central Kalenjin/Western Plateau Central Kalenjin/Keiyo
kek,kekc1242,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Quichean/Q'eqchi'
kcl,kela1255,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Huon Gulf/North Huon Gulf linkage/Kela (Papua New Guinea)
kzi,kela1258,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/North Sarawakan/Dayic/Kelabit
khy,kele1255,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/North Zaire River/Inner Basin Bantu/Keleic/Kele-Poke/Kele-Lombo/Kele-Foma
keb,kele1257,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Bantu A-B10-B20-B30/Bantu B20B/Nuclear Ngomic/Akeleic/Kélé
sbc,kele1258,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Admiralty Islands/Eastern Admiralty Islands/Manus/East Manus/Kurti-Kele-Ere/Kele (Papua New Guinea)
ify,kele1259,Austronesian,Austronesian/Malayo-Polynesian/Northern Luzon/Meso-Cordilleran/South-Central Cordilleran/Southern Cordilleran/West Southern Cordilleran/Nuclear Southern Cordilleran/Kalanguya/Keley-i Kallahan
kbo,keli1248,Central Sudanic,Central Sudanic/Moru-Madi/Central Moru-Madi/Avokayic/Kalikoic/Keliko
xel,kelo1246,Eastern Jebel,Eastern Jebel/Aka-Kelo-Molo/Kelo
kyo,kelo1247,Timor-Alor-Pantar,Timor-Alor-Pantar/Alor-Pantar/Nuclear Alor-Pantar/West Alor-Straits-Pantar/Klon
kem,kema1243,Austronesian,Austronesian/Malayo-Polynesian/Central Timor/Kemak-Tukudede/Kemak
bzp,kemb1235,South Bird's Head,South Bird's Head/Nuclear South Bird's Head/Kaburic/East South Bird's Head/Kemberanic/Kemberano
xem,kemb1249,Austronesian,Austronesian/Malayo-Polynesian/Land Dayak/Bidayuh-Southern Land Dayak/Southern Land Dayak/Mateq
xkw,kemb1250,Lepki-Murkim-Kembra,Lepki-Murkim-Kembra/Kembra
dmo,keme1240,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Beboid/Eastern Beboid/Bebe-Kemezung/Naki-Kemezung/Kemezung
sjk,kemi1239,Uralic,Uralic/Saami/Eastern Saami/Mainland Eastern Saami/Kemi Saami
kfj,kemi1240,Bookkeeping,Bookkeeping/Kemiehua
kmt,kemt1242,Nimboranic,Nimboranic/Outer Nimboranic/Mlap-Gresi-Kemtuik/Gresi-Kemtuik/Kemtuik
xbn,kena1236,Isolate,Kenaboi
gat,kena1250,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Unclassified Kainantu-Goroka/Kenati
kvm,kend1252,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Mamfe/Kendem-Denya/Kendem
klf,kend1253,Maban,Maban/Mabang/Maba-Masalit/Macro-Maba/Kendeje
knx,kend1254,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Western Malayic Dayak/Kendayan-Belangin
kyq,keng1240,Central Sudanic,Central Sudanic/Sara-Bongo-Bagirmi/SBB Occidental/Nuclear SBB Occidental/Saraic/Bagirmic/Kenga
knl,keni1248,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Ibanic/Keninjal
kxi,keni1249,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Sabahan/Southwest Sabahan/Greater Murutic/Murutic/Northern Murutic/Lowland Murut/Keningau Murut
kns,kens1248,Austroasiatic,Austroasiatic/Aslian/Central-Northern Aslian/North Aslian/Maniq-Menraq-Batek/Maniqic/Kensiu
ndb,kens1251,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Wide Grassfields/Narrow Grassfields/Ring/South Ring/Babungoic/Kenswei Nsei
kzh,kenu1236,Nubian,Nubian/Nile Nubian/Kenuzi-Dongola
xki,keny1241,Sign Language,Sign Language/L1 Sign Language/Kenya-Somali Sign Language
lke,keny1278,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Great Lakes Bantu/West Nyanza/North Nyanza/South Kyoga/Soga-Kenyi/Kenyi
ken,keny1279,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Mamfe/Kenyang
xxk,keoo1238,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/West-Central Flores/Central Flores-Paluqe/Central Flores/Eastern Central Flores/Nage-Keo/Kéo
xeu,keor1235,Eleman,Eleman/Western Eleman/Keoru-Ahia
kpn,kepk1241,Tupian,Tupian/Kepkiriwát
kuk,kepo1237,Austronesian,Austronesian/Malayo-Polynesian/Bima-Lembata/Flores/West-Central Flores/Manggaraiic/Kepo'
hhr,kera1248,Atlantic-Congo,Atlantic-Congo/North-Central Atlantic/Central Atlantic/Bak/Joola-Manjaku/Jola/FH-Jola/PF-Jola/Her-Ejamat/Keerak
ker,kera1255,Afro-Asiatic,Afro-Asiatic/Chadic/East Chadic/East Chadic A/East Chadic A.3/Kera
krk,kere1280,Chukotko-Kamchatkan,Chukotko-Kamchatkan/Chukotian/R-Koryakic/J-Koryakic/Kerek
ked,kere1283,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Great Lakes Bantu/West Nyanza/Rutara/Kerewe
xke,kere1285,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Central Sarawak/Punan-Muller-Schwaner/Muller-Schwaner/Hovongan-Kereho/Kereho
kxz,kere1286,Kiwaian,Kiwaian/Turama-Kerewo/Kerewo
kvr,keri1250,Austronesian,Austronesian/Malayo-Polynesian/Malayo-Chamic/Malayic/Nuclear Malayic/Northern Sumatra Malay/Kerinci-Minangkabau/Kerinci
xes,kesa1244,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Madang/Rai Coast/Evapia/Nuclear Evapia/Kesawai-Wia/Kesawai
kae,keta1243,Austronesian,Austronesian/East Formosan/Northern East Formosan/Ketangalan
kcv,kete1252,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/Njila/Southern Njila/Chokwe-Lunda/Ruund-Salampasu/Lunda-Ruund-Kete/Ruund-Kete/Kete
xte,kete1254,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Mek/Eastern Mek/Ketengban
ket,kett1243,Yeniseian,Yeniseian/Northern Yeniseian/Ket
ktt,ketu1238,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Asmat-Awyu-Ok/Awyu-Ok/Greater Awyu/Awyu-Dumut/Dumut/Ketum-Wambon/Ketum
kyg,keya1238,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Kainantu-Goroka/Goroka/Nuclear Goroka/Siane-Yagaria/Kamano-Yagaria/Keyagana
xkv,kgal1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Southern Bantu/Nuclear Southern Bantu/Dimsuffix Southern Bantu/Sotho-Tswana (S.30)/Western Sotho-Tswana/Kgalagadi
hkh,khah1234,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Eastern Dardic/Kashmiric/Khah
kjh,khak1248,Turkic,Turkic/Common Turkic/South Siberian Turkic/Sayan-Yenisei Turkic/Yenisey Turkic/Khakas
kjf,khal1270,Bookkeeping,Bookkeeping/Khalaj
klr,khal1275,Sino-Tibetan,Sino-Tibetan/Himalayish/Mahakiranti/Kiranti/Upper Dudhkosi/Khaling
ykh,kham1281,Mongolic-Khitan,Mongolic-Khitan/Mongolic/Eastern Mongolic/Khamnigan Mongol
khg,kham1282,Sino-Tibetan,Sino-Tibetan/Bodic/Bodish/Early Old Tibetan/Middle Old Tibetan/Late Old Tibetan/Kham-Hor/Khams Tibetan
kbg,kham1283,Sino-Tibetan,Sino-Tibetan/Bodic/Bodish/Early Old Tibetan/Middle Old Tibetan/Late Old Tibetan/Southern Tibetic/Unclassified Southern Tibetic/Khamba
kht,kham1290,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Sukaphic/Assam Tai B/Khamti
ksu,kham1291,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Sukaphic/Assam Tai B/Khamyang
khn,khan1272,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Midlands Indo-Aryan/Khandesic/Khandesi
kca,khan1273,Uralic,Uralic/Khantyic/Northern Khanty/Kazym-Berezover-Suryskarer Khanty
kjm,khan1274,Austroasiatic,Austroasiatic/Khasi-Palaung/Palaungic/East Palaungic/Khao-Bit/Kháng
ogo,khan1278,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Ogonoid/East Ogonoid/Tai-Kana/Khana
xao,khao1244,Bookkeeping,Bookkeeping/Khao
ksy,khar1283,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Indo-Aryan Eastern zone/Oriya-Gauda-Kamrupa/Gauda-Kamrupa/Gauda-Banga/Kharia Thar
khr,khar1287,Austroasiatic,Austroasiatic/Mundaic/Kharia
kfw,khar1288,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Kuki-Chin/Northwestern Kuki-Chin/Central Old Kuki/Kharam Naga
kha,khas1269,Austroasiatic,Austroasiatic/Khasi-Palaung/Khasian/Khasi-Pnar-Lyngngam/Khasi-Pnar/Khasi
lko,khay1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Great Lakes Bantu/Greater Luyia/Luyia/Saamia-Wanga-Bukusu/Saamia-Wanga/Western Luyia/Marachi-Khayo/Khayo
kqg,khee1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Dogoso-Khe/Khe
tlx,kheh1237,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Admiralty Islands/Eastern Admiralty Islands/Manus/West Manus/West Manus II/Likum-Levei/Khehek
xkf,khen1241,Sino-Tibetan,Sino-Tibetan/Bodic/Bodish/Phobjib-Chali-Bumthangic/Chali-Bumthangic/Bumthangic/Khengkha
xhe,khet1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Middle-Modern Indo-Aryan/Continental Indo-Aryan/Indo-Aryan Northwestern zone/Sindhi-Lahnda/Sindhic/Khetrani
nkh,khez1235,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Angami-Ao/Angami-Pochuri/Angami-Mao/Khezha Naga
kix,khia1236,Sino-Tibetan,Sino-Tibetan/Brahmaputran/Patkaian/South Patkaian/Southeastern Patkaian/Lainongic/Khiamniungic/Khiamniungan Naga
nky,khia1237,Bookkeeping,Bookkeeping/Khiamniungan Naga (Retired)
kjj,khin1240,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Khinalug
kwx,khir1237,Dravidian,Dravidian/Unclassified Dravidian/Khirwar
kqm,khis1238,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Gur/Central Gur/Southern Central Gur/Kaansa-Dogose/Dogose-Khisa/Khisa
llo,khlo1239,Bookkeeping,Bookkeeping/Khlor
ykl,khlu1236,Sino-Tibetan,Sino-Tibetan/Burmo-Qiangic/Lolo-Burmese/Loloish/Ni-Li-Kazhouish/Southeastern Ngwi/Highland Phula/Phowa/Hlepho-Phukha/Khlula-Zokhuo/Khlula
kjg,khmu1256,Austroasiatic,Austroasiatic/Khmuic/Khmu'/Khmu
xkc,khoi1250,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Central Iranian PB/Northwestern Iranian/Adharic/Tatic/Central Tatic/Kho'ini
nkb,khoi1251,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Tangkhul-Maring/Maringic/Khoibu
ktc,khol1240,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic A/West Chadic A.2-3/West Chadic A.2/Boleic/Unclassified Boleic/Kholok
kmz,khor1269,Turkic,Turkic/Common Turkic/Oghuz/Nuclear Oghuz/East Oghuz/Khorasan Turkic
kho,khot1251,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Saka-Wakhi/Saka/Khotanese
khw,khow1242,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Indo-Aryan/Khowar
xhv,khua1243,Bookkeeping,Bookkeeping/Khua
khf,khue1238,Austroasiatic,Austroasiatic/Khmuic/Khmu'/Khuen
cnk,khum1248,Sino-Tibetan,Sino-Tibetan/Kuki-Chin-Naga/Kuki-Chin/Peripheral Kuki-Chin/Khomic/Khumi Chin
cka,khum1250,Bookkeeping,Bookkeeping/Khumi Awa Chin
kfm,khun1255,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Central Iranian PB/Northwestern Iranian/Central Iran Kermanic/Nuclear Central Iran Kermanic/Khunsaric
kkh,khun1259,Tai-Kadai,Tai-Kadai/Kam-Tai/Daic-Beic/Daic/Central-Southwestern Tai/Wenma-Southwestern Tai/Sapa-Southwestern Tai/Southwestern Tai/Southwestern Tai P/Shanic/Southern Shanic/Yuanic/Khün
khv,khva1239,Nakh-Daghestanian,Nakh-Daghestanian/Daghestanian/Avar-Andic-Tsezic/Tsezic/West Tsezic/Khwarshi-Inkhoqwari
xco,khwa1238,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Sogdic-Ossetic/Sogdic/Khwarezmian
kie,kibe1241,Maban,Maban/Mabang/Runga-Kibet/Kibet
prm,kibi1239,Isolate,Kibiri
quc,kich1262,Mayan,Mayan/Core Mayan/Quichean-Mamean/Greater Quichean/Core Quichean/Quiche-Achi/K'iche'
qxi,kich1263,Bookkeeping,"Bookkeeping/K'iche', San Andrés"
cun,kich1264,Bookkeeping,"Bookkeeping/K'iche', Cunén"
quu,kich1265,Bookkeeping,"Bookkeeping/K'iche', Eastern"
qut,kich1266,Bookkeeping,"Bookkeeping/K'iche', West Central"
quj,kich1267,Bookkeeping,"Bookkeeping/K'iche', Joyabaj"
kic,kick1244,Algic,Algic/Algonquian-Blackfoot/Algonquian/Eastern Great Lakes Algonquian/Fox/Kickapoo
kzg,kika1239,Japonic,Japonic/Ryukyuan/Northern Ryukyuan/Amami/Kikai
kik,kiku1240,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Central Kenya Bantu/Gikuyu-Temi/Kikuyu
sjd,kild1236,Uralic,Uralic/Saami/Eastern Saami/Peninsular Eastern Saami/Kildin Saami
kij,kili1267,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/Papuan Tip linkage/Peripheral Papuan Tip linkage/Kilivila-Misima/Kilivilic/Kilivila-Muyuw/Kilivila
klb,kili1268,Cochimi-Yuman,Cochimi-Yuman/Yuman/Kiliwa
kih,kilm1241,Border,Border/Bewani/Pagi-Kilmeri/Kilmeri
kqr,kima1244,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/Sabahan/Southwest Sabahan/Greater Dusunic/Dusunic/Kimaragang
kig,kima1246,Kolopom,Kolopom/Kimaama-Riantana/Kimaama
kmb,kimb1241,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/Njila/Northern Njila/Mbundu (H.20)/Kimbundu
kiv,kimb1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Sukuma-Nyamwezi (F.20)/Nyamwezic/Kimbu
sbt,kimk1238,Isolate,Kimki
mji,kimm1245,Hmong-Mien,Hmong-Mien/Mienic/Mien-Mun/Kim Mun
kia,kimm1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/North Volta-Congo/Bua-Kim-Day/Kim-Besme-Goundo/Kim
kqp,kimr1241,Afro-Asiatic,Afro-Asiatic/Chadic/East Chadic/East Chadic A/East Chadic A.2/East Chadic A.2 2/Gabri-Kimre/Kimre
krj,kina1250,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Bisayan/West Bisayan/Kinarayan/Kinaray-a
kco,kina1251,Nuclear Trans New Guinea,Nuclear Trans New Guinea/Finisterre-Huon/Huon/Western Huon/Cromwell/Dallman/Kinalakna-Kumukio/Kinalakna
cbw,kina1252,Austronesian,Austronesian/Malayo-Polynesian/Greater Central Philippine/Central Philippine/Bisayan/Central Bisayan/Warayan/Samar-Waray/Kinabalian
kfk,kinn1249,Sino-Tibetan,Sino-Tibetan/Bodic/West Himalayish/Western West Himalayish/Kinnauric/Kinnauri
knq,kint1239,Austroasiatic,Austroasiatic/Aslian/Central-Northern Aslian/North Aslian/Maniq-Menraq-Batek/Maniqic/Kintaq
kkd,kinu1239,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Kainji/Central Kainji/Basa-Eastern Kainji/Eastern Kainji/Jos/Kauru/Kinuku
kin,kiny1244,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Great Lakes Bantu/Western Lakes Bantu/Kivu/West Highlands Kivu/Kinyarwanda
ues,kiok1239,Austronesian,Austronesian/Malayo-Polynesian/Celebic/Greater Eastern Celebic/Eastern Celebic/Southeastern Celebic/Muna-Buton/Nuclear Muna-Buton/Munan/Munic/Western Munic/Kioko
kkm,kion1242,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Delta Cross/Upper Cross/Kiong-Korop/Kiong
xko,kior1239,Bookkeeping,Bookkeeping/Kiorr
apk,kiow1264,Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit/Athabaskan-Eyak/Athabaskan/Apachean/Kiowa Apache
kio,kiow1266,Kiowa-Tanoan,Kiowa-Tanoan/Kiowa
sgc,kips1239,Nilotic,Nilotic/Southern Nilotic/Kalenjin/Central Kalenjin/Kipsigis
kyi,kipu1237,Austronesian,Austronesian/Malayo-Polynesian/North Borneo Malayo-Polynesian/North Sarawakan/Berawan-Lower Baram/Lower Baram/Central Lower Baram A/Kiput
kkr,kirb1236,Afro-Asiatic,Afro-Asiatic/Chadic/West Chadic/West Chadic B/West Chadic B.3/South Bauchi East/Boghomic/Kir-Mangas/Kir-Balar
geb,kire1240,Ramu,Ramu/Lower Ramu/Ruboni/Kire
kir,kirg1245,Turkic,Turkic/Common Turkic/Kipchak-Turkestan/Kipchak/Southeast Kipchak/East Kipchak/Kirghiz
okr,kiri1254,Ijoid,Ijoid/Ijo/Eastern Ijo/Nikio/Kio Ijo/Kirike
kiy,kiri1256,Lakes Plain,Lakes Plain/Tariku/West Tariku/Fayu-Kirikiri/Kirikiri
kiu,kirm1248,Indo-European,Indo-European/Classical Indo-European/Indo-Iranian/Iranian-Nuristani/Iranian/Central Iranian PBS/Central Iranian PB/Northwestern Iranian/Adharic/Zaza/Kirmanjki
fkk,kiry1234,Afro-Asiatic,Afro-Asiatic/Chadic/Biu-Mandara/North Biu-Mandara/Higic/Nkafa-Kirya-Bana/Nkafa-Kirya/Kirya-Konzel
lks,kisa1263,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Great Lakes Bantu/Greater Luyia/Luyia/Saamia-Wanga-Bukusu/Saamia-Wanga/Central-Eastern Luyia/Kisa-Marama-Tsotso/Kisa
kqh,kisa1264,Bookkeeping,Bookkeeping/Kisankasa
kje,kisa1266,Austronesian,Austronesian/Malayo-Polynesian/Timor-Babar/Southwest Maluku/Luangic-Kisaric/Kisaric/Kisar
kiz,kisi1243,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/East Bantu/Northeast Savanna Bantu/Southern Tanzania Highlands Bantu/Kisi-Pangwa/Kisi
kis,kiss1246,Austronesian,Austronesian/Malayo-Polynesian/Eastern Malayo-Polynesian/Oceanic/Western Oceanic linkage/North New Guinea linkage/Schouten linkage/Kairiru-Manam/Manamic linkage/Kis-Wogeo/Kis
gru,kist1241,Afro-Asiatic,Afro-Asiatic/Semitic/West Semitic/Ethiosemitic/South Ethiopic/Outer South Ethiopic/N-Group/Kistane
zkt,kita1247,Mongolic-Khitan,Mongolic-Khitan/Kitan
mwk,kita1249,Mande,Mande/Western Mande/Manding-Kpelle/Central Mande/Manding-Jogo/Manding-Vai/Manding-Mokole/Manding/West Manding/Kita-Kagoro/Kita Maninkakan
gia,kitj1240,Jarrakan,Jarrakan/Kitja
kii,kits1249,Caddoan,Caddoan/Northern Caddoan/Pawnee-Kitsai/Kitsai
mkw,kitu1245,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/West-Coastal Bantu/Nzadic/Lweric/Dingic/Loange-Atlantic/KLC Extended/Kikongo Language Cluster/Nuclear KLC/Kikongoic/Kambakunyic Kikongo/Kilaadic Kikongo/Central-Southern Kikongo/Southeastern Kikongo/Southern Kikongo/Koongo-Kituba/Kituba (Congo)
ktu,kitu1246,Atlantic-Congo,Atlantic-Congo/Volta-Congo/Benue-Congo/Bantoid/Southern Bantoid/Narrow Bantu/Central-Western Bantu/West-Coastal Bantu/Nzadic/Lweric/Dingic/Loange-Atlantic/KLC Extended/Kikongo Language Cluster/Nuclear KLC/Kikongoic/Kambakunyic Kikongo/Kilaadic Kikongo/Central-Southern Kikongo/Southeastern Kikongo/Southern Kikongo/Koongo-Kituba/Kituba (Democratic Republic of Congo)
